from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-26 20:00:00+00:00,2025-08-26 20:30:00+00:00,211,183,high
2025-08-26 20:30:00+00:00,2025-08-26 21:00:00+00:00,188,185,high
2025-08-26 21:00:00+00:00,2025-08-26 21:30:00+00:00,184,176,moderate
2025-08-26 21:30:00+00:00,2025-08-26 22:00:00+00:00,183,160,moderate
2025-08-26 22:00:00+00:00,2025-08-26 22:30:00+00:00,177,160,moderate
2025-08-26 22:30:00+00:00,2025-08-26 23:00:00+00:00,161,155,moderate
2025-08-26 23:00:00+00:00,2025-08-26 23:30:00+00:00,149,152,moderate
2025-08-26 23:30:00+00:00,2025-08-27 00:00:00+00:00,145,143,moderate
2025-08-27 00:00:00+00:00,2025-08-27 00:30:00+00:00,136,140,moderate
2025-08-27 00:30:00+00:00,2025-08-27 01:00:00+00:00,141,142,moderate
2025-08-27 01:00:00+00:00,2025-08-27 01:30:00+00:00,142,140,moderate
2025-08-27 01:30:00+00:00,2025-08-27 02:00:00+00:00,145,149,moderate
2025-08-27 02:00:00+00:00,2025-08-27 02:30:00+00:00,148,154,moderate
2025-08-27 02:30:00+00:00,2025-08-27 03:00:00+00:00,147,151,moderate
2025-08-27 03:00:00+00:00,2025-08-27 03:30:00+00:00,153,147,moderate
2025-08-27 03:30:00+00:00,2025-08-27 04:00:00+00:00,152,147,moderate
2025-08-27 04:00:00+00:00,2025-08-27 04:30:00+00:00,152,147,moderate
2025-08-27 04:30:00+00:00,2025-08-27 05:00:00+00:00,150,153,moderate
2025-08-27 05:00:00+00:00,2025-08-27 05:30:00+00:00,84,158,moderate
2025-08-27 05:30:00+00:00,2025-08-27 06:00:00+00:00,154,151,moderate
2025-08-27 06:00:00+00:00,2025-08-27 06:30:00+00:00,160,151,moderate
2025-08-27 06:30:00+00:00,2025-08-27 07:00:00+00:00,149,147,moderate
2025-08-27 07:00:00+00:00,2025-08-27 07:30:00+00:00,143,137,moderate
2025-08-27 07:30:00+00:00,2025-08-27 08:00:00+00:00,142,128,moderate
2025-08-27 08:00:00+00:00,2025-08-27 08:30:00+00:00,137,116,moderate
2025-08-27 08:30:00+00:00,2025-08-27 09:00:00+00:00,122,103,moderate
2025-08-27 09:00:00+00:00,2025-08-27 09:30:00+00:00,115,91,low
2025-08-27 09:30:00+00:00,2025-08-27 10:00:00+00:00,101,87,low
2025-08-27 10:00:00+00:00,2025-08-27 10:30:00+00:00,100,83,low
2025-08-27 10:30:00+00:00,2025-08-27 11:00:00+00:00,79,78,low
2025-08-27 11:00:00+00:00,2025-08-27 11:30:00+00:00,74,78,low
2025-08-27 11:30:00+00:00,2025-08-27 12:00:00+00:00,69,75,low
